book,chapter,startVerse,endVerse,text
1 Nephi,3,7,7,I will go and do the things which the Lord hath commanded.
2 Nephi,2,25,25,Adam fell that men might be; and men are that they might have joy.
2 Nephi,2,27,27,They are free to choose liberty and eternal life or captivity and death.
2 Nephi,26,33,33,All are alike unto God.
2 Nephi,28,30,30,God will give unto the children of men line upon line precept upon precept.
2 Nephi,32,3,3,Feast upon the words of Christ; for behold the words of Christ will tell you all things what ye should do.
2 Nephi,32,8,9,Ye must pray always.
Mosiah,2,17,17,When ye are in the service of your fellow beings ye are only in the service of your God.
Mosiah,2,41,41,Those that keep the commandments of God are blessed in all things.
Mosiah,3,19,19,Put off the natural man and become a saint through the atonement of Christ the Lord.
Mosiah,4,9,9,Believe in God; believe that he has all wisdom.
Mosiah,18,8,10,Be baptized in the name of the Lord as a witness that ye have entered into a covenant with him.
Alma,7,11,13,And he shall go forth suffering pains and afflictions and temptations of every kind.
Alma,34,9,10,There must be an atonement made an infinite and eternal sacrifice.
Alma,39,9,9,Go no more after the lusts of your eyes.
Alma,41,10,10,Wickedness never was happiness.
Helaman,5,12,12,It is upon the rock of our Redeemer that ye must build your foundation.
3 Nephi,11,10,11,I have suffered the will of the Father in all things from the beginning.
3 Nephi,12,48,48,Be perfect even as I or your Father who is in heaven is perfect.
3 Nephi,27,20,20,Come unto me and be baptized that ye may be sanctified by the reception of the Holy Ghost.
Ether,12,6,6,Ye receive no witness until after the trial of your faith.
Ether,12,27,27,If men come unto me then will I make weak things become strong unto them.
Moroni,7,45,48,Charity is the pure love of Christ.
Moroni,10,4,5,Ask with a sincere heart with real intent having faith in Christ and by the power of the Holy Ghost ye may know the truth of all things.